u,v,color,bend,opacity
NoI22,NoC43,orange,0,1
NoI22,NoC53,orange,0,1
NoI32,NoC63,orange,0,1
NoI32,NoC73,orange,0,1
NoI22,NoC44,orange,0,1
NoI22,NoC54,orange,0,1
NoI32,NoC64,orange,0,1
NoI32,NoC74,orange,0,1
