1	164.4646
2	158.5734
3	174.5356
4	186.0076
5	195.5001
6	185.5001
7	185.5001
8	185.5641
9	185.4995
10	185.5641
11	180.5014
12	185.4995
13	185.4995
14	185.4995
15	185.4995
16	170.0313
17	185.5111
18	185.4995
19	185.4995
20	185.4995
21	197.7376
22	185.5001
23	185.5001
24	178.0889
25	185.4995
26	185.5001
27	194.7376
28	185.5001
29	185.5001
30	185.5001
31	185.5001
32	177.7446
33	185.5001
34	185.5001
35	185.5001
36	190.4995
37	188.0001
38	185.5001
39	185.5001
40	185.5641
41	176.5001
42	185.5065
43	185.5001
44	185.5001
45	185.5001
46	185.5001
47	185.5001
48	185.5001
49	185.6710
50	185.5001
