1	184.4646
2	178.5734
3	212.5356
4	195.4976
5	212.0995
6	188.2688
7	212.5395
8	212.5641
9	212.5246
10	212.5641
11	212.5014
12	212.5014
13	212.5014
14	212.5014
15	212.5014
16	212.5014
17	200.5014
18	212.5014
19	212.5014
20	212.5014
21	212.5014
22	212.5014
23	212.5014
24	212.5014
25	212.5014
26	212.5014
27	212.5014
28	212.5014
29	212.5014
30	212.5985
31	212.5470
32	219.7446
33	213.7014
34	210.7014
35	212.5014
36	212.5014
37	212.5014
38	212.5014
39	212.5014
40	205.5641
41	212.5504
42	212.5065
43	220.5001
44	212.5001
45	212.5001
46	212.5001
47	212.5001
48	212.5001
49	212.5014
50	212.5001
