1	159.0416
2	149.3222
3	195.5732
4	195.5372
5	188.5894
6	180.5070
7	192.5385
8	192.5660
9	192.5707
10	184.4070
11	192.4729
12	192.5372
13	192.5329
14	192.5555
15	192.5555
16	192.6611
17	192.5555
18	192.5684
19	192.5195
20	192.5116
21	192.4104
22	165.5024
23	174.5372
24	183.3216
25	192.7758
26	192.7043
27	192.7553
28	192.7305
29	192.7142
30	192.7068
31	192.7784
32	192.7209
33	198.7940
34	179.5958
35	192.4217
36	192.5076
37	192.6054
38	192.5350
39	192.5452
40	192.5771
41	197.6707
42	192.5464
43	192.5080
44	192.5372
45	192.5372
46	192.5372
47	192.5678
48	192.5372
49	192.5067
50	192.5761
